pegon,latin
وِيوِيت,wiYwiYt
كِيتَا,kiYtaA
بَوڠْصَا,bon_g.s_haA
مٓرْدِيكَا,m^er.diYkaA
رُوڤِي,ruWpiY
نِيڤُونْ,niYpuWn.
لَاجٓڠْ,laAj^en_g.
سَامِي,saAmiY
ڮِييَات,giYyaAt
نَالُورِي,naAluWriY
لٓلُوهُورْ,l^eluWhuWr.
بَبَادْ,babaAd.
دِيڤُونْ,diYpuWn.
سِينَاهُو,siYnaAhuW
شٓجَرَهْ,s_y^ejarah.
وُوچَالَاكٓنْ,wuWcaAlaAk^en.
إِڠْكَڠْ,in_g.kan_g.
مَاوِي,maAwiY
بَهَاسَا,bahaAsaA
دَائِرهْ,daA'irh.
لَنْ,lan.
نَاڠِيڠْ,naAn_giYn_g.
بُوكُو,buWkuW
سَمْڤُونْ,sam.puWn.
سُومِييَارْ,suWmiYyaAr.
كَاوُوچَالَاكٓنْ,kaAwuWcaAlaAk^en.
ڤُونِيكَا,puWniYkaA
سٓبَاڮِيهَانْ,s^ebaAgiYhaAn.
أَڮٓڠْ,ag^en_g.
نٓرَاڠَاكٓنْ,n^eraAn_gaAk^en.
بَاب,baAb
كٓلَايَانْ,k^elaAyaAn.
شَجَرَهْ,s_yajarah.
ڤَارَا,paAraA
وَالِي,waAliY
سُونَنْ,suWnan.
ڤَمٓدَارْ,pam^edaAr.
عُمُومْ,'umuWm.
تَانَهْ,taAnah.
جَاوِي,jaAwiY
خُصُوصْ,k_husuWs.
كِينَا,kiYnaA
مِيلَا,miYlaA
رَاجَا,raAjaA
ڤٓرسَاسَتْ,p^ersaAsat.
سٓدَايَا,s^edaAyaA
تَنْسَهْ,tan.sah.
ڤٓڠَنْجُورْ,p^en_gan.juWr.
ڤٓرَامِيلَا,p^eraAmiYlaA
سَڠْكِڠْ,san_g.kin_g.
رِسَالَهْ,risaAlah.
ڤٓنُولِيسْ,p^enuWliYs.
كٓڤَيڠِين,k^epen_giYn
ۑُولِيكْ,n_yuWliYk.
سٓكٓࢮِيكْ,s^ek^ediYk.
بُومْبُونِيڤُونْ,buWm.buWniYpuWn.
مُوچَالْ,muWcaAl.
دَاتٓڠْ,daAt^en_g.
تَلْمِيذْ,tal.miYd_z.
مُوڮِي,muWgiY
ڮِينَا,giYnaA
ڤَائِدَهِيڤُون,paA'idahiYpuWn
نَلِيكَا,naliYkaA
كُورَاڠْ,kuWraAn_g.
أُتَوِي,utawiY
مَدْرَسَهْ,mad.rasah.
تَهُونْ,tahuWn.
كَڠْ,kan_g.
جُومٓنٓڠْ,juWm^en^en_g.
رَاتُو,raAtuW
چٓمْڤَا,c^em.paA
كُونْڟَارَا,kuWn.t_taAraA
كَافِرْ,kaAfir.
بِنَاڟَارَا,binaAt_taAraA
كَاڮُوڠَانْ,kaAguWn_gaAn.
ڤُوتٓرَا,puWt^eraA
دَارَاوَاتِي,daAraAwaAtiY
مُورْدَا,muWr.daA
نِيڠْرُومْ,niYn_g.ruWm.
وُولَانْ,wuWlaAn.
چِيڠْكَارَا,ciYn_g.kaAraA
سَالَهْ,saAlah.
عَرَبْ,'arab.
أَسْمَرْقَنْدِي,as.mar.gan.diY
مَشْهُورْ,mas_y.huWr.
كَارَانْ,kaAraAn.
رَاوُوه,raAwuWh
ڤٓرْلُو,p^er.luW
تَبْلِيغْ,tab.liYg_h.
ڠَاجَاء,n_gaAjaA'
سَاڠْ,saAn_g.
سُوڤَيَا,suWpayaA
كٓرْصَا,k^er.s_haA
مٓلٓبُو,m^el^ebuW
ڠَنْتِي,n_gan.tiY
مَسْجِدْ,mas.jid.
كَادَاهُوڤَكٓنْ,kaAdaAhuWpak^en.
ڤٓڠڮُولُو,p^en_gguWluW
ڤٓمْبَاجٓڠْ,p^em.baAj^en_g.
مُورْدَانِڠْرُومْ,muWr.daAnin_g.ruWm.
كَادَاهُوڤَاكٓنْ,kaAdaAhuWpaAk^en.
ڤٓرَابُو,p^eraAbuW
وِيجَايَا,wiYjaAyaA
دَادِي,daAdiY
كَارَو,kaAro
كَاڤٓرْنَهْ,kaAp^er.nah.
ڮَرْوَا,gar.waA
كَاڮُوڠَنْ,kaAguWn_gan.
دَادَوس,daAdos
سَانَيس,saAnes
سٓكَولَاهَان,s^ekolaAhaAn
مَدْرَسهْ,mad.rash.
بَوتٓنْ,bot^en.
أَڮَامِي,agaAmiY
مَوڠْكَا,mon_g.kaA
مَيه,meh
دَينِيڠْ,deniYn_g.
وَونْتٓنْ,won.t^en.
أَلِيتْ,aliYt.
بَاࢮَي,baAd_he
كَيڠِيڠَاكَڠْڮَي,ken_giYn_gaAkan_g.ge
سَانَيسْ,saAnes.
وَونْتٓنَا,won.t^enaA
ڤَائِدَهِيڤُونْ,paA'idahiYpuWn.
لٓوِيهْ,l^ewiYh.
دَيوِي,dewiY
چَونْدٓرَا,con.d^eraA
رَادَينْ,raAden.
كُوچَاڤَا,kuWcaApaA
سَاوِيجِينَي,saAwiYjiYne
مُبَلِّغْ,muballig_h.
أَسْمَا,as.maA
تٓمبَي,t^embe
أَسْمَارَا,as.maAraA
أَدٓكْ,ad^ek.
أَنْࢮَاوُوهَاكٓنْ,an.d_haAwuWhaAk^en.
ڤُوتٓرَانَي,puWt^eraAne
چَوندٓرَاوُولَان,cond^eraAwuWlaAn
دَينَي,dene
أَڠْسَالْ,an_g.saAl.
ڤٓرِيڤَيهَانْ,p^eriYpehaAn.
سِيتِي,siYtiY
كَرْطَا,kar.t_taA
إِيْكُو,iY.kuW
اَكَيهْ,akeh.
كَاچَارِيطَا,kaAcaAriYt_taA
ڮَرْوَانَي,gar.waAne
فَادٓمِى,faAd^emi^y
اَرْيَادَمَارْ,ar.yaAdamaAr.
اَدِى,adi^y
فَلَيمبَاڠ,falembaAn_g
سَڠكِڠ,san_gkin_g
ڮَروَا,garwaA
هَادِىْ,haAdi^y.
فَاتِى,faAti^y
دَايَانِيڠرَات,daAyaAniYn_graAt
فٓڠْڮِيڠ,f^en_g.giYn_g
لٓمبُو,l^embuW
فٓتٓڠ,f^et^en_g
مٓدُورَا,m^eduWraA
ڮُوڮُور,guWguWr
اِڠكَڠ,in_gkan_g
اِبُوْ,ibuW.
بَاڮَلَينْ,baAgalen.
اَسمَا,asmaA
جَارَانْ,jaAraAn.
ڤَنُولَيه,panuWleh
سَمْڤَاڠْ,sam.paAn_g.
مَدُرَا,maduraA
حَسَنْ,h_hasan.
تٓمْبَي,t^em.be
اَخِيرْ,ak_hiYr.
رَادَيْن,raAde.n
فَتَحْ,fatah_h.
اِيَا,iYaA
اِيكِى,iYki^y
ڠٓدٓكَاكٓنْ,n_g^ed^ekaAk^en.
كٓرَاجَاأَنْ,k^eraAjaAan.
اِسْلاَمْ,is.lam.
كَاوِيْتَانْ,kaAwiY.taAn.
بِنْطَارَا,bin.t_taAraA
مُورِيْه,muWriY.h
سَمفُرنَانِى,samfurnaAni^y
چَارِيتَا,caAriYtaA
چَوْبَا,co.baA
تٓرَاڠَاكَي,t^eraAn_gaAke
نَسَبْ,nasab.
بِنْ,bin.
كَرْطَاوِيْجَايَا,kar.t_taAwiY.jaAyaA
سُورُوهْ,suWruWh.
فٓجَاجَارَان,f^ejaAjaAraAn
سَارِى,saAri^y
لَالِيَّانْ,laAliYYaAn.
رَاوِيْس,raAwiY.s
رٓڠْڮَا,r^en_g.gaA
جٓڠْڮَالَا,j^en_g.gaAlaA
طٓبُو,t_t^ebuW
لٓمْبُو,l^em.buW
اَمِيلُوهُورْ,amiYluWhuWr.
حَدَثِ,h_hadati